"TERM","colors","cup","bold","setaf"
"opennt-60-w","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"opennt-w","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"opennt-w-vt","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"opus3n1+","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"origpc3","-1","$'\E[%i%p1%2d;%p2%2dH'","$'\E[7m'","''"
"osborne","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"osborne-w","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"osexec","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"otek4112","-1","''","''","''"
"otek4115","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"owl","-1","$'\EX%p1%\' \'%+%c\EY%p2%\' \'%+%c'","''","''"
"p19","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"p8gl","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"pc-coherent","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pc-minix","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pc-venix","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pc3","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pc6300plus","-1","$'\E[%i%p1%2d;%p2%2dH'","$'\E[1m'","''"
"pcansi","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pcansi-25","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pcansi-25-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcansi-33","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pcansi-33-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcansi-43","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pcansi-43-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcansi-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pccon","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pccon+base","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pccon+colors","8","''","''","$'\E[3%p1%dm'"
