"TERM","colors","cup","bold","setaf"
"screen.mlterm-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen.mrxvt","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.putty","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.putty-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen.putty-m1","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.putty-m1b","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.putty-m2","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.rxvt","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.teraterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.vte","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.vte-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen.xterm-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen.xterm-r6","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.xterm-xfree86","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen2","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"screen3","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screwpoint","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"scrhp","-1","$'\E&a%p1%dy%p2%dC'","$'\E&dF'","''"
"sibo","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"simpleterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"simterm","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"soroc120","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"soroc140","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"st","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"st-0.6","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"st-0.7","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"st-16color","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"st-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"st-direct","16777216","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e38;2;%p1%{65536}%/%d;%p1%{256}%/%{255}%&%d;%p1%{255}%&%d%;m'"
"st52","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"st52-color","16","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","$'\Eb%?%p1%{0}%=%t1%e%p1%{1}%=%t2%e%p1%{2}%=%t3%e%p1%{3}%=%t>%e%p1%{4}%=%t4%e%p1%{5}%=%t7%e%p1%{6}%=%t5%e%p1%{7}%=%t0%e%p1%{8}%=%t8%e%p1%{9}%=%t9%e%p1%{10}%=%t:%e%p1%{11}%=%t;%e%p1%{12}%=%t<%e%p1%{13}%=%t=%e%p1%{14}%=%t6%e?'"
"st52-old","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"stv52","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\EyA'","''"
"stv52pc","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\EyA'","''"
"sun","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun+sl","-1","''","''","''"
"sun-1","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-12","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-17","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-24","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-34","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-48","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-c","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-cgsix","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-color","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"sun-e","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-e-s","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-il","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-s","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"sun-type4","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"superbee-xsb","-1","$'\EF%p2%3d%p1%3d'","''","''"
"superbeeic","-1","$'\EF%p2%3d%p1%3d'","''","''"
"superbrain","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"swtp","-1","$'\v%p2%c%p1%c'","''","''"
"synertek","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"t10","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"t1061","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"t1061f","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"t16","-1","$'%i\E[%p1%d;%p2%df'","''","''"
"t3700","-1","''","''","''"
"t3800","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tab132","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tab132-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tab132-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tab132-w-rv","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tandem6510","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tandem653","-1","$'\023%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tek","-1","''","''","''"
"tek4013","-1","''","''","''"
"tek4014","-1","''","''","''"
"tek4014-sm","-1","''","''","''"
"tek4015","-1","''","''","''"
"tek4015-sm","-1","''","''","''"
"tek4023","-1","$'\034%p2%\' \'%+%c%p1%\' \'%+%c'","''","''"
"tek4024","-1","''","''","''"
"tek4025-17","-1","''","''","''"
"tek4025-17-ws","-1","''","''","''"
"tek4025-cr","-1","$'\037jum%i%p1%d,%p2%d;'","''","''"
"tek4025-ex","-1","''","''","''"
"tek4025a","-1","''","''","''"
"tek4025ex","-1","''","''","''"
"tek4105","-1","$'\E[%i%p1%2d;%p2%2dH'","$'\E[=7;<4m'","''"
"tek4105-30","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tek4105a","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tek4106brl","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tek4107","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E%!1\E[1m\E%!0'","''"
"tek4112","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"tek4112-5","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"tek4112-nd","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"tek4113","-1","''","''","''"
"tek4113-34","-1","''","''","''"
"tek4113-nd","-1","''","''","''"
"tek4115","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tek4125","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tek4205","8","$'\E[%i%p1%d;%p2%dH'","$'\E[=7;<4m'","''"
"tek4207","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tek4207-s","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E%!1\E[1m\E%!0'","''"
"tek4404","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"teken","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"teletec","-1","''","''","''"
"teraterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"teraterm-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"teraterm2.3","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"teraterm4.59","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"teraterm4.97","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"terminator","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[38;5;%p1%dm'"
"terminet1200","-1","''","''","''"
"terminology","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"terminology-0.6.1","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"terminology-1.0.0","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"termite","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"ti700","-1","''","''","''"
"ti916","-1","$'\E[%p1%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ti916-132","-1","$'\E[%p1%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ti916-8","-1","$'\E[%p1%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ti916-8-132","-1","$'\E[%p1%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ti924","-1","$'%i\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"ti924-8","-1","$'%i\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"ti924-8w","-1","$'%i\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"ti924w","-1","$'%i\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"ti926","-1","$'%i\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"ti926-8","-1","$'%i\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"ti928","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ti928-8","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"ti931","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ti_ansi","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"tmux","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"tmux-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"trs16","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"trs2","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ts100","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"ts100-ctxt","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tt","-1","$'\E[%p1%d;%p2%dH'","''","''"
"tt505-22","-1","$'\E[%p1%d;%p2%dH'","$'\E[1m'","''"
"tt52","16","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","$'\Eb%?%p1%{0}%=%t1%e%p1%{1}%=%t2%e%p1%{2}%=%t3%e%p1%{3}%=%t>%e%p1%{4}%=%t4%e%p1%{5}%=%t7%e%p1%{6}%=%t5%e%p1%{7}%=%t0%e%p1%{8}%=%t8%e%p1%{9}%=%t9%e%p1%{10}%=%t:%e%p1%{11}%=%t;%e%p1%{12}%=%t<%e%p1%{13}%=%t=%e%p1%{14}%=%t6%e?'"
"tty33","-1","''","''","''"
"tty37","-1","''","''","''"
"tty40","-1","''","''","''"
"tty43","-1","''","''","''"
"tvi803","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi9065","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","$'\EG,'","''"
"tvi910","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi910+","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b+2p","-1","''","''","''"
"tvi912b+dim","-1","''","''","''"
"tvi912b+mc","-1","''","''","''"
"tvi912b+printer","-1","''","''","''"
"tvi912b+vb","-1","''","''","''"
"tvi912b-2p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-2p-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-2p-p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-2p-unk","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-unk","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-vb-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-vb-p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912b-vb-unk","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi912cc","-1","''","''","''"
"tvi920b","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b+fn","-1","''","''","''"
"tvi920b-2p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-2p-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-2p-p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-2p-unk","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-unk","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-vb-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-vb-p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi920b-vb-unk","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi921","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi924","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi925","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi925-hi","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi92B","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi92D","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi950","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi950-2p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi950-4p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi950-rv","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi950-rv-2p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi950-rv-4p","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tvi955","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"tvi955-hb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[=5l'","''"
"tvi955-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"tvi970","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"tvi970-2p","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"tvi970-vb","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"tvipt","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"tw100","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"tw52","16","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\Eya'","$'\Eb%?%p1%{0}%=%t?%e%p1%{7}%=%t0%e%p1%{15}%=%t7%e%p1%\'0\'%+%c'"
"tw52-m","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\Eya'","''"
"tws-generic","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"tws2102-sna","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"tws2103","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"tws2103-sna","-1","$'\E[%i%p1%d;%p2%df'","''","''"
"uniterm","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"uts30","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"uwin","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"v3220","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"v5410","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vanilla","-1","''","''","''"
"vc303","-1","''","''","''"
"vc303a","-1","''","''","''"
"vc404","-1","$'\020%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vc404-s","-1","$'\020%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vc414","-1","$'\E\021%p2%c%p1%c'","''","''"
"vc415","-1","$'\020%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"versaterm","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vi200","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi200-f","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi200-rv","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi300","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vi300-old","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vi50","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi500","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi50adm","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi55","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vi550","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vi603","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"viewdata","-1","$'\036%?%p1%{07}%>%t\n\n\n\n\n\n\n\n%;%?%p1%{15}%>%t\n\n\n\n\n\n\n\n%;%?%p1%{4}%&%t\n\n\n\n%;%?%p1%{2}%&%t\n\n%;%?%p1%{1}%&%t\n%;%?%p2%{07}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{15}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{23}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{31}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{4}%&%t\t\t\t\t%;%?%p2%{2}%&%t\t\t%;%?%p2%{1}%&%t\t%;'","''","''"
"viewdata-o","-1","$'\036%p1%?%p2%{20}%>%t%?%p1%{23}%=%t%Pa%{1}%e%{1}%+%;%;%Pa%?%ga%{13}%<%t%?%ga%{07}%>%t\n\n\n\n\n\n\n\n%;%?%ga%{4}%&%t\n\n\n\n%;%?%ga%{2}%&%t\n\n%;%?%ga%{1}%&%t\n%;%e%{24}%ga%-%Pa%?%ga%{07}%>%t\v\v\v\v\v\v\v\v%;%?%ga%{4}%&%t\v\v\v\v%;%?%ga%{2}%&%t\v\v%;%?%ga%{1}%&%t\v%;%;%?%p2%{21}%<%t%?%p2%{07}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{15}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{4}%&%t\t\t\t\t%;%?%p2%{2}%&%t\t\t%;%?%p2%{1}%&%t\t%;%e%\'(\'%p2%-%Pa%?%ga%{07}%>%t\b\b\b\b\b\b\b\b%;%?%ga%{15}%>%t\b\b\b\b\b\b\b\b%;%?%ga%{4}%&%t\b\b\b\b%;%?%ga%{2}%&%t\b\b%;%?%ga%{1}%&%t\b%;%?%p1%{23}%=%t\v%;%;'","''","''"
"viewdata-rv","-1","$'\036%p1%?%p2%{20}%>%t%?%p1%{23}%=%t%Pa%{1}%e%{1}%+%;%;%Pa%?%ga%{13}%<%t%?%ga%{07}%>%t\n\n\n\n\n\n\n\n%;%?%ga%{4}%&%t\n\n\n\n%;%?%ga%{2}%&%t\n\n%;%?%ga%{1}%&%t\n%;%e%{24}%ga%-%Pa%?%ga%{07}%>%t\v\v\v\v\v\v\v\v%;%?%ga%{4}%&%t\v\v\v\v%;%?%ga%{2}%&%t\v\v%;%?%ga%{1}%&%t\v%;%;%?%p2%{21}%<%t%?%p2%{07}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{15}%>%t\t\t\t\t\t\t\t\t%;%?%p2%{4}%&%t\t\t\t\t%;%?%p2%{2}%&%t\t\t%;%?%p2%{1}%&%t\t%;%e%\'(\'%p2%-%Pa%?%ga%{07}%>%t\b\b\b\b\b\b\b\b%;%?%ga%{15}%>%t\b\b\b\b\b\b\b\b%;%?%ga%{4}%&%t\b\b\b\b%;%?%ga%{2}%&%t\b\b%;%?%ga%{1}%&%t\b%;%?%p1%{23}%=%t\v%;%;'","''","''"
"viewpoint","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vip","-1","$'\E[%i%p1%03d%p2%03df'","''","''"
"vip-H","-1","$'\E[%i%p1%03d%p2%03df'","''","''"
"vip-Hw","-1","$'\E[%i%p1%03d%p2%03df'","''","''"
"vip-w","-1","$'\E[%i%p1%03d%p2%03df'","''","''"
"visa50","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vp3a+","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vp60","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vp90","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vremote","-1","$'\EG%p2%c%p1%c'","''","''"
"vsc","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vt100+4bsd","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt100+enq","-1","''","''","''"
"vt100+fnkeys","-1","''","''","''"
"vt100+keypad","-1","''","''","''"
"vt100+pfkeys","-1","''","''","''"
"vt100-nav","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vt100-nav-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vt100-putty","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt100-s","-1","$'\E[%i%p1%{1}%+%d;%p2%dH'","$'\E[1m'","''"
"vt100-s-bot","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt100-vb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt100-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt100-w-nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt100nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt102+enq","-1","''","''","''"
"vt102-nsgr","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt102-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt125","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt131","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt132","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt200-js","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"vt220+keypad","-1","''","''","''"
"vt220-8bit","-1","$'\233%i%p1%d;%p2%dH'","$'\2331m'","''"
"vt220-nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt220-old","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt220-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt220d","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320-k3","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320-k311","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320-nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320-w-nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt320nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt340","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt400","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt420","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt420f","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt420pc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt420pcdos","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt50","-1","''","''","''"
"vt50h","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
